service,name,city,area,address,url
deliveroo,almondsbury-creative,bristol,almondsbury-and-cattybrook,,https://deliveroo.co.uk/menu/bristol/almondsbury-and-cattybrook/almondsbury-creative
deliveroo,cafe-dream,bristol,ashley-down-and-bishopston,,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/cafe-dream
deliveroo,county-news-and-off-license,bristol,ashley-down-and-bishopston,,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/county-news-and-off-license
deliveroo,cafe-dream-gloucester-road,bristol,ashley-down-and-bishopston,,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/cafe-dream-gloucester-road
deliveroo,the-great-british-takeaway,bristol,ashley-down-and-bishopston,,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/the-great-british-takeaway
