service,name,url,address,categories
uber_eats,cheese-station,https://www.ubereats.com/gb/store/cheese-station/W_XsSSVzWZaAd4et2FvoVQ,closed,The Masochist Burger • The Queen Burger • The Savage Burger • The Try Hard Burger • Plain Jane Burger • Chicken and bacon melt • Pulled chicken and halloumi • Plain SFC Burger • Mac and Cheese with SFC and BBQ • Mac and cheese with Spicy Pulled chicken • BBQ Pork cheese fries • Spicy BBQ pulled chicken fries • SFC BBQ Cheese fries • BBQ Beans • Kids Cheeseburger and fries • Kids pulled chicken in a bun and fries • Texas Sticky BBQ Sauce
uber_eats,degusto,https://www.ubereats.com/gb/store/degusto/0XNaEdfmSDyhbq3YHXl8YQ,"94 Camden Road, London, England NW1 9EA",Italian • Seafood • Pasta • Mediterranean • Vegetarian • Fried Squid & Whitebait • Grilled Octopus • Half Canadian Lobster Grilled • Baby Gem Salad • Caprese & Burrata Salad
uber_eats,fries-away,https://www.ubereats.com/gb/store/fries-away/0PM0Ix59Q7CgC7tYuEboCQ,closed,
uber_eats,biryani4u-tower-bridge,https://www.ubereats.com/gb/store/biryani4u-tower-bridge/QuJRkLZIXmGPFpRiIOje1A,closed,Chicken Popcorn (10 pieces) • Chicken Nuggets (6 pieces) • Chicken Bhunna Biryani • Chicken Tikka Biryani • Chicken Tikka Masala Biryani • Chicken Tikka Masala Biryani for Two • Chicken Bhunna Biryani for Two • Chicken Tikka Biryani for Two • Chicken Tikka Wrap • Chicken Bhunna Wrap • Special Lamb Kebab Wrap • Chicken Tikka Burrito Wrap • Chicken Bhunna Burrito Wrap • Special Lamb Kebab Burrito Wrap
uber_eats,filli-cafe,https://www.ubereats.com/gb/store/filli-cafe/GSh2GovkUA-gNxY-UV72qw,closed,
uber_eats,subway-promo-test-1415,https://www.ubereats.com/gb/store/subway-promo-test-1415/gNM21dkpTfatnlLMMsOufQ,closed,Rice Box Meal • Noodle Salad Meal • Grilled Pork Summer Roll • Fried Vegetable Spring Roll • Fried Prawn Spring Rolls • Grilled Lemongrass Pork Noodle Salad • Grilled Chicken Bun Noodle Salad • Stir Fried Lemongrass Tofu Bun Noodle Salad • Grilled Lemongrass Pork • Grilled Lemongrass Chicken • Steamed Bao Bun with Lemongrass pork • Steamed Bao Bun with Lemongrass Chicken • Steamed Bao Bun with Chicken Satay • Steamed Bao Bun with Honey Soy Fried Chicken • New - Steamed Bao Bun with Satay Fried Prawns • Mild Coconut Chicken Curry • Chicken rice box • Pork rice box • Chicken Pho • Canned Soft Drinks • Spicy Chicken • Pulled chicken
uber_eats,la-lupe-finborough-road,https://www.ubereats.com/gb/store/la-lupe-finborough-road/tsAH6rcBVfulEfLmhhdkfQ,"118 Finborough Road, London, EMEA SW10 9ED",Mexican • Tacos • Burritos Duo • Pollo Asado Bowl (Chicken) • Bowl Vegetariano (Veggie) • Pollo Asado Burrito (Chicken) • Carne Chipotle Tacos (Beef) • Pollo Asado Tacos (Chicken) • Tacos Vegetarianos (Veggie) • Quesabirria de Pollo (Chicken) • Quesadilla de Pollo (Chicken) • Pollo Asado Nachos (Chicken) • Nachos Vegetarianos (Veggie)
uber_eats,creams-cafe-stevenage-debehnams,https://www.ubereats.com/gb/store/creams-cafe-stevenage-debehnams/_XChbP1wSaebiGPftgI16w,closed,"Vegan Waffle • Vegan Crepe • Vegan Cookie Dough • Popcorn Chicken Waffle Bites • Mexican Nachos • Iced Coffee • Tenzing Energy Drink Raspberry & Yuzu • Tenzing Energy Drink, Pineapple & Passion fruit"
uber_eats,the-tuk-shop,https://www.ubereats.com/gb/store/the-tuk-shop/ubsOBFpxQoCfotTt6s5v5A,closed,Chicken Nuggets (8) • 4 Chicken Nuggets and Chips • Chicken Fillet Strips (5) • Chilli Con Carne and Rice • Chicken Curry and Rice • Chicken Curry and Chips • Hot Wings (8) • BBQ Spare Ribs (Half Portion) • Vegan Sausage Baguette • Vegetarian Sausage Baguette • Vegetarian Sausage and Egg Baguette • Chicken Fillet Burger • Veggie Burger • Vegan No Beef Burger • Vegan No Chicken Burger • Vegan Spicy Bean Burger
uber_eats,mosob-restaurant,https://www.ubereats.com/gb/store/mosob-restaurant/F3kxtfFnRemgq2-Gegy0og,closed,
