service,listing_index,listing_id,listing_name,listing_address,listing_city_slug,listing_area_slug,listing_business_slug,platform_name,platform_address,platform_city,url,score,name_score,slug_score,address_score,exact_slug_match,second_best_score,gap_to_second,auto_updated,reason
designmynight,39,02600ea9-b9a3-459d-8b2b-927c3635dcf2,The Lost & Found,"85 Queen's Road, Bristol, BS8 1QS",bristol,clifton,the-lost-found,3.  The Lost & Found,,bristol,https://www.designmynight.com/bristol/bars/clifton/the-lost-found-bristol,100.0,100.0,29.41,,False,62.5,37.5,True,high confidence designmynight match
designmynight,64,03cc2b3a-5013-4061-9ce3-020045d2515a,Mowgli,"35 Corn Street, Bristol, BS1 1HT",bristol,city-centre,mowgli,Mowgli,,bristol,https://www.designmynight.com/bristol/restaurants/city-centre/mowgli-bristol,100.0,100.0,100.0,,True,,999.0,True,high confidence designmynight match
designmynight,879,3bd62c41-49c0-4ba2-ad23-a3dcb32c6366,Blame Gloria,"22 Small Street, Bristol, BS1 1DW",bristol,city-centre,blame-gloria,2.  Blame Gloria,,bristol,https://www.designmynight.com/bristol/bars/city-centre/blame-gloria-bristol,100.0,100.0,42.86,,False,,999.0,True,high confidence designmynight match
designmynight,1043,4674b308-9a68-48bf-a8af-55c444adf9df,Coyote Ugly,"V Shed Canons Way, Bristol, BS1 5UH",bristol,city-centre,coyote-ugly,1.  Coyote Ugly,,bristol,https://www.designmynight.com/bristol/bars/harbourside/coyote-ugly-bristol,100.0,100.0,46.15,,False,,999.0,True,high confidence designmynight match
designmynight,1191,50518485-ae78-490b-9a23-db387ee6c0ee,No. 4,"4 Rodney Place, Bristol, BS8 4HY",bristol,hotwells,no-4,No.4 Clifton Village,,bristol,https://www.designmynight.com/bristol/restaurants/clifton/no-4-clifton-village,100.0,100.0,25.0,,False,,999.0,True,high confidence designmynight match
designmynight,1437,5fcbfd5e-6f9c-4c5a-847d-923f8f7f56bd,omg,,bristol,brandon-hill,omg,5.  OMG Bristol Bar,,bristol,https://www.designmynight.com/bristol/bars/city-centre/omg-bristol-bar,100.0,100.0,27.27,,False,,999.0,True,high confidence designmynight match
designmynight,1649,6d8c51e4-694c-4198-923f-28ad454accac,KIBOU,"16 Kings Road, Bristol, BS8 4AB",bristol,clifton,kibou,KIBOU Clifton,,bristol,https://www.designmynight.com/bristol/restaurants/clifton/kibou-clifton,100.0,100.0,100.0,,False,,999.0,True,high confidence designmynight match
designmynight,1665,6eb52c10-57f2-48d6-85a1-18606ffc1db0,Kongs,"13-15 King Street, Bristol, BS1 4EF",bristol,city-centre,kongs,4.  Kongs Of Kings Street,,bristol,https://www.designmynight.com/bristol/bars/city-centre/kongs-of-kings-street,100.0,100.0,33.33,,False,,999.0,True,high confidence designmynight match
designmynight,2114,8b83a0cf-eb61-434f-9a15-2333f9e82ba2,Honest Burgers,"21 Clare Street, Bristol, BS1 1XA",bristol,city-centre,honest-burgers,Honest Burgers Bristol,,bristol,https://www.designmynight.com/bristol/restaurants/city-centre/honest-burgers,100.0,100.0,50.0,,False,,999.0,True,high confidence designmynight match
designmynight,2305,97aae7f9-9cfc-4d57-a2cb-068187af0a97,Star,"290 Charlton Road, Bristol, BS10 6JU",bristol,brentry,star,One Of Bristol's Favourite Michelin Star Restaurants Has Been Reborn,,bristol,https://www.designmynight.com/bristol/restaurants/city-centre/casa/new-bar-spy,100.0,100.0,100.0,,False,,999.0,True,high confidence designmynight match
