service,listing_index,listing_id,listing_name,listing_address,listing_city_slug,listing_area_slug,listing_business_slug,delivery_name,delivery_address,delivery_city,delivery_area,url,score,name_score,slug_score,address_score,postcode_match,exact_slug_match,second_best_score,gap_to_second,auto_updated,reason,area_match
uber_eats,3413,e42d4e12-6cd0-4609-8d9a-7bcacee2002f,The Practice Rooms,"57-59 High Street, Bristol, BS9 3ED",bristol,westbury-on-trym,the-practice-rooms,indian-kitchen,"61 High Street, Bristol, EMEA BS9 3ED",,,https://www.ubereats.com/gb/store/indian-kitchen/2FSPhsr1QKiJzpiGQb9tAQ,71.0,31.25,25.0,90.0,True,False,70.41,0.59,False,needs review,
uber_eats,1862,7b031c75-96e1-4f4e-b49d-fe3f38325dba,Harbourside Kitchen,"Gas Ferry Road, Bristol, BS1 6TY",bristol,hotwells,harbourside-kitchen,u-kitchen,"844 Bury Road, Bolton, EMEA Bl2 6pa",,,https://www.ubereats.com/gb/store/u-kitchen/N1YYP-_zVVym-1zjNZmudg,70.98,87.5,64.29,50.79,False,False,67.15,3.83,False,needs review,
uber_eats,3284,dbc7d0c5-78c8-4ff3-abb7-f19c37edb3bd,Gusto,"74 Bedminster Parade, Bristol, BS3 4HL",bristol,bedminster,gusto,gusto-divino,"26 Market Place, Warminster, England BA12 9AN",,,https://www.ubereats.com/gb/store/gusto-divino/Ca8US20aXTmgQp-PJNe1Gg,70.95,100.0,58.82,35.44,False,False,61.86,9.09,False,needs review,
uber_eats,2332,9969352f-7646-4378-b9d0-78725735cb29,Chaya Canteen,"120 Saint Michaels Hill, Bristol, BS2 8BU",bristol,kingsdown,chaya-canteen,saints-deli,"118 St Michael'S Hill, Bristol, EMEA BS2 8BU",,,https://www.ubereats.com/gb/store/saints-deli/Eltgr_xAX8-6u_DjmptilQ,70.93,25.0,33.33,83.95,True,False,,999.0,False,needs review,
uber_eats,89,05604cdc-8c98-4052-a75f-fb403e4d6e30,Jhoots Pharmacy,"Gainsborough Square, Bristol, BS7 9XA",bristol,lockleaze,jhoots-pharmacy,bristol-bawarchi-biryani-cafe,"Box 8
12-14 Gainsborough Square, Bristol, EMEA BS7 9XA",,,https://www.ubereats.com/gb/store/bristol-bawarchi-biryani-cafe/4walyYgXUeG7Ii8QN6F5QA,70.91,22.73,27.27,100.0,True,False,,999.0,False,needs review,
uber_eats,502,227c5b11-9bdc-48f3-8981-fa687c3580e4,Pizza Factory & Fish & Chips,"200 Bloomfield Road, Bristol, BS4 3QU",bristol,brislington,pizza-factory-fish-chips,sobe-burger-st-annes,"200 Bloomfield Road, Bristol, EMEA BS4 3QU",,,https://www.ubereats.com/gb/store/sobe-burger-st-annes/TucW6Lm3X6iCvsKKvyhkeA,70.91,27.27,27.27,100.0,True,False,,999.0,False,needs review,
uber_eats,891,3c75ac7d-0303-47aa-85d1-40bccdadf6cc,Pilates Moves,"Redcliff Hill, Bristol, BS1 6TB",bristol,redcliffe,pilates-moves,world-of-wings-redcliff-hil-bs1,"7 Waring House, Redcliff Hill, Redcliff Bristol, Bs1 6tb, EMEA BS1 6TB",,,https://www.ubereats.com/gb/store/world-of-wings-redcliff-hil-bs1/s7eWxyHKXz-VhxklF5oTrA,70.91,27.27,22.73,100.0,True,False,,999.0,False,needs review,
uber_eats,1392,5d102a90-78a4-4bcb-af8e-da42d71baf18,Peppa seed,"43 West Street, Bristol, BS2 0BZ",bristol,st-philips,peppa-seed,falafel-land,43 West Street St Philips Bristol Bs2 0bz,,,https://www.ubereats.com/gb/store/falafel-land/g9EG1_UuXu6SkgIQ6IjZCw,70.91,27.27,27.27,100.0,True,False,,999.0,False,needs review,
uber_eats,2484,a36756d7-daa2-413c-92a8-226d52a26966,Wessex Flyer,"Hengrove Leisure Park Hengrove Way, Bristol, BS14 0HR",bristol,hartcliffe,wessex-flyer,costa-coffee-bristol-hengrove-dt,"Drive Thru, Hengrove Leisure Park, Hengrove Way, Bristol Bs14 0hr, United Kingdom",,,https://www.ubereats.com/gb/store/costa-coffee-bristol-hengrove-dt/BP-dN3zwUiKvmgOHT5ubQA,70.91,22.73,27.27,100.0,True,False,,999.0,False,needs review,
uber_eats,2825,bb7d2611-aa4a-48d4-8273-73d6772af95b,Meatbox,"Cargo 2 Museum Street, Bristol, BS1 6ZA",bristol,southville,meatbox,the-pancake-man,Unit 2 Cargo 2 Museum Street Bristol Bs1 6za,,,https://www.ubereats.com/gb/store/the-pancake-man/lxXJg9p0Qsu7PWs0i54LUg,70.91,27.27,18.18,100.0,True,False,64.21,6.7,False,needs review,
