service,name,city,address,url
firsttable,Chi,bristol,Gloucester Road,https://www.firsttable.co.uk/bristol/gloucester-road/chi
firsttable,Dosa Queen,bristol,Gloucester Road,https://www.firsttable.co.uk/bristol/gloucester-road/dosa-queen
firsttable,The Coconut Tree,bristol,Gloucester Road,https://www.firsttable.co.uk/bristol/gloucester-road/the-coconut-tree-gloucester-road
firsttable,Kal Dosa,bristol,Gloucester Road,https://www.firsttable.co.uk/bristol/gloucester-road/kal-dosa
firsttable,"Gloucester Road breakfast deals
Book a First Table for breakfast and get 50% off the food bill",bristol,Gloucester Road,https://www.firsttable.co.uk/bristol/gloucester-road/breakfast
firsttable,"Gloucester Road lunch deals
Book a First Table for lunch and get 50% off the food bill",bristol,Gloucester Road,https://www.firsttable.co.uk/bristol/gloucester-road/lunch
firsttable,The Saigon Kitchen,bristol,Redland,https://www.firsttable.co.uk/bristol/redland/the-saigon-kitchen
firsttable,St Pauls,bristol,St Pauls,https://www.firsttable.co.uk/bristol/st-pauls/lunch
firsttable,Southville,bristol,Southville,https://www.firsttable.co.uk/bristol/southville/lunch
firsttable,Redland,bristol,Redland,https://www.firsttable.co.uk/bristol/redland/lunch
firsttable,The Malago,bristol,Southville,https://www.firsttable.co.uk/bristol/southville/the-malago
firsttable,Talwar Express,bristol,Wapping Wharf,https://www.firsttable.co.uk/bristol/wapping-wharf/talwar-express
firsttable,Bombil,bristol,Bedminster,https://www.firsttable.co.uk/bristol/bedminster/bombil
firsttable,Tikka Flame,bristol,Harbourside,https://www.firsttable.co.uk/bristol/harbourside/tikka-flame
firsttable,PizzaExpress,bristol,Harbourside,https://www.firsttable.co.uk/bristol/harbourside/pizza-express-bristol-harbourside
firsttable,The Old Market Assembly,bristol,Old Market,https://www.firsttable.co.uk/bristol/old-market/the-old-market-assembly
firsttable,Cafe Napolita,bristol,St Werburghs,https://www.firsttable.co.uk/bristol/st-werburghs/cafe-napolita
firsttable,CLOUDS,bristol,St Werburghs,https://www.firsttable.co.uk/bristol/st-werburghs/clouds
firsttable,Nadu,bristol,Stokes Croft,https://www.firsttable.co.uk/bristol/stokes-croft/nadu
firsttable,GiGi's Pizza,bristol,Old Market,https://www.firsttable.co.uk/bristol/old-market/gigis-pizza
firsttable,Cabot Circus,bristol,Broadmead,https://www.firsttable.co.uk/bristol/broadmead/cabot-circus
firsttable,"St Pauls breakfast deals
Book a First Table for breakfast and get 50% off the food bill",bristol,St Pauls,https://www.firsttable.co.uk/bristol/st-pauls/breakfast
